DMS_id,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,0.38125518544565595,0.8894949868507563,0.4391025641025641,0.9055809119527487,0.4564027174026969
5A12_Ang2_fitness_4ZFG,0.1505834104957118,0.5774471514475235,0.05196206062860331,0.5939808193723467,0.1304336772201836
5A12_VEGF_fitness_4ZFF,0.6769946345552381,0.7034064631555407,0.08653869512774816,0.7327126475202552,0.16975393058880578
Z-domain_ZpA963_HL1_fitness_2M5A,0.8660864465368572,0.9503855293976852,0.5493428969348342,0.9647299534624024,0.6513451463973767
Z-domain_ZpA963_HL2_fitness_2M5A,0.43074738113497735,0.693425925925926,0.12962962962962962,0.7197447597554611,0.20846389707264884
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.6038143074953707,0.8818168308044051,0.3921634317817731,0.8834859973687245,0.43015898210822223
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.700352567331049,0.8685187664505543,0.32210790709068743,0.8785473971810117,0.3695724477952594
CXCR4_CXCL12_enrich_8U4O,0.11991462218473915,0.5324922211299098,0.025941668618354504,0.5978547828969448,0.11589789828409028
hYAP65_peptide_FunctioncalScore_1JMQ,0.47341091988893347,0.7493173160238737,0.19788516665646927,0.7718738738863958,0.2395949814991506
GB1_IgG-Fc_fitness_1FCC,0.8400201911680736,0.8908266983760664,0.4130460005833431,0.8968892653283045,0.48734951307485636
GB1_IgG-Fc_fitness_1FCC_2016,0.7989345163609348,0.9285773117234198,0.4985371895949935,0.9392129712529251,0.5630464758753074
SARS2-RBD_ACE2_deltaKd_6M0J,0.3407507878404141,0.6717756642706127,0.025452979749140625,0.5907606249860711,0.14117313423881542
KRAS_DARPinK27_norfitness_5O2S,0.6784769658463731,0.8019271738523499,0.23856856630192244,0.7985032234157933,0.30056032540508537
KRAS_PICK3CG-RBD_norfitness_1HE8,0.7399147391476144,0.8662027562386286,0.39207439973141134,0.8348497543023714,0.450093553590899
KRAS_RAF1_norfitness_6VJJ,0.7686092822148116,0.8709774963204931,0.2963362119617226,0.8430935542754497,0.34402951666682136
KRAS_RAF1-RBD_norfitness_6VJJ,0.7421976495001724,0.8367212815721772,0.29216100960156316,0.8080977759377868,0.3349631118920653
KRAS_RALGDS-RBD_norfitness_1LFD,0.7300897377539005,0.8271303635433658,0.2832990094272712,0.7982511551396274,0.3234464815237898
KRAS_SOS1_norfitness_8BE4,0.6506374632714667,0.7838547028712071,0.21653846676970234,0.7851338584628702,0.2632206793346309
BH3_Mcl-1_normed_3KZ0,0.6647981614160436,0.850817101353582,0.29456916474083855,0.7213527476526582,0.3349330884644662
BH3_Bcl-xL_normed_1PQ1,0.8201983935528173,0.8428524265434136,0.23043908880818753,0.7822280203325029,0.28037840092977145
HLA-A2_TAPBPR_meanscore_5WER,0.4216222313686206,0.721301270318398,0.17396467314474487,0.6882739532722437,0.21044419581786805
PSD95_CRIPT_1BE9,0.5739820070668878,0.7610235412708182,0.22627808850946915,0.776038759994208,0.2735467192195562
PSD95_Tm2F_1BE9,0.30038344684559853,0.6212478033202201,0.050432199534348486,0.6507178983296412,0.1417218658698453
ACE2_SARS2-RBD_enrich_6M17,0.3396021257199101,0.6613193027418152,0.1423928612053216,0.7132829004767332,0.20051680496227964
CD19_FMC63_Fitness_7URV,0.7318461998828963,0.7837700922192143,0.227370837460424,0.8226802002748024,0.3036017808719682
