DMS_id,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,0.399683621615023,0.8713017751479291,0.3482905982905983,0.8642844403059642,0.37630942075743595
5A12_Ang2_fitness_4ZFG,0.10699902740564103,0.6276982208170603,0.0753704048106131,0.553554230097154,0.15119030228491145
5A12_VEGF_fitness_4ZFF,0.44599814224186385,0.6450432430081877,0.04195217690881419,0.6848334693435535,0.13851012481213512
Z-domain_ZpA963_HL1_fitness_2M5A,0.1720832603111439,0.6849140498932774,0.09868579386966832,0.5885192279991601,0.17802191252935834
Z-domain_ZpA963_HL2_fitness_2M5A,0.3715835424982721,0.7383641975308644,0.24074074074074073,0.7072546287742559,0.2502211329181156
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.012114855528872365,0.4321832712843562,-0.04507815819449047,0.5304757953598465,0.08394512085956767
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.1651201326720298,0.6857954804416441,0.15710777890454974,0.7466807647490404,0.2040098825045576
CXCR4_CXCL12_enrich_8U4O,0.20858148569536175,0.5626137644178714,0.0398567876380923,0.6332175038933725,0.12239326421274616
hYAP65_peptide_FunctioncalScore_1JMQ,0.31372758028011555,0.6899576647732315,0.12364880510548788,0.6689485007942068,0.17118940832164786
GB1_IgG-Fc_fitness_1FCC,0.5742218683753263,0.7200788559074285,0.09678221936108088,0.6823314155536693,0.17446877281118534
GB1_IgG-Fc_fitness_1FCC_2016,0.5536473986378112,0.795964909989969,0.2485572271653249,0.8746086750819457,0.27845302294458896
SARS2-RBD_ACE2_deltaKd_6M0J,0.7155005436415182,0.8783863191998476,0.3591045651086063,0.8242142085954435,0.36952431073438075
KRAS_DARPinK27_norfitness_5O2S,0.47945495347123596,0.6683395117103471,0.11403273061866702,0.7137121789445542,0.17894368370018085
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5915456246415757,0.7464312331059009,0.23763468967269283,0.7818867065372589,0.2587238860399711
KRAS_RAF1_norfitness_6VJJ,0.5970018937170036,0.8097822765966212,0.2542741175335317,0.8198265445542147,0.3004112116969813
KRAS_RAF1-RBD_norfitness_6VJJ,0.5749015398016736,0.72790403882242,0.19672743298280368,0.7930054437426393,0.23667961105539614
KRAS_RALGDS-RBD_norfitness_1LFD,0.6491360618273577,0.7395586280298885,0.19862777959588937,0.7789225587061801,0.23052152450725352
KRAS_SOS1_norfitness_8BE4,0.4330234657192589,0.7049060181774793,0.15820775407664367,0.7001142544548792,0.20683820953084633
BH3_Mcl-1_normed_3KZ0,0.6370969771535508,0.9122235061076263,0.46558270056124135,0.9052740439381699,0.568701335558849
BH3_Bcl-xL_normed_1PQ1,0.6385212675951822,0.8804060746120832,0.44420600858369097,0.908682165596149,0.5279078583124985
HLA-A2_TAPBPR_meanscore_5WER,0.37626299667618546,0.6413530552620745,0.08107716651041899,0.6580344920113758,0.15179326365156665
PSD95_CRIPT_1BE9,0.44819866476230685,0.6023898091899269,0.050432199534348486,0.6556118519151163,0.12893679405317396
PSD95_Tm2F_1BE9,0.22276350167487505,0.4534638406437053,-0.012872320496694945,0.548392113188517,0.09095066202038293
ACE2_SARS2-RBD_enrich_6M17,0.32400801516061495,0.5263061983921926,-0.014919690881276218,0.6123209983177668,0.10932528400316979
CD19_FMC63_Fitness_7URV,0.5319499169873426,0.7424456570690846,0.14421570257413466,0.7193594751856965,0.20078001168362886
