DMS_id,Spearman,AUC,MCC,NDCG,AP
CXCR4_CXCL12_enrich_8U4O,0.10795442888702468,0.5485406120730342,0.045820410075122775,0.5931195931617221,0.12055339362522188
hYAP65_peptide_FunctioncalScore_1JMQ,0.3435901642604304,0.6331564986737401,-0.034880636604774536,0.6968214853151569,0.14575357116300108
GB1_IgG-Fc_fitness_1FCC,0.45057281674385263,0.7379383634431457,0.19542533272607662,0.750881053765586,0.22251546487738844
SARS2-RBD_ACE2_deltaKd_6M0J,0.12839974791094633,0.5520956339735875,0.02318146205551178,0.5660235429502379,0.11497306731085119
KRAS_DARPinK27_norfitness_5O2S,0.21627281261178707,0.5937119929674303,0.11014691786685778,0.6426983226794385,0.14742470245590256
KRAS_PICK3CG-RBD_norfitness_1HE8,0.24016943729653817,0.6333848268033874,0.07828282828282829,0.59169369158568,0.1458168124389661
KRAS_RAF1_norfitness_6VJJ,0.1912502029678131,0.6541074373674702,0.1128956255399356,0.6654715179340746,0.18693034184002696
KRAS_RAF1-RBD_norfitness_6VJJ,0.2719087239563123,0.6475872936030314,0.12039562632265667,0.5946923655244816,0.1634155892197221
KRAS_RALGDS-RBD_norfitness_1LFD,0.23444523107448137,0.5795042383765733,0.06297628221594315,0.5712859591891544,0.1414067315896962
KRAS_SOS1_norfitness_8BE4,0.21830070885200725,0.6079136627038229,0.1232725555832595,0.5659630800568661,0.1657025238002455
BH3_Mcl-1_normed_3KZ0,0.20010559915520676,0.624140565317036,-0.04507257448433919,0.5820801478732964,0.1250205312768331
BH3_Bcl-xL_normed_1PQ1,0.6368325053399573,0.7803666921313981,0.1508785332314744,0.7245074575065754,0.23645061321315583
HLA-A2_TAPBPR_meanscore_5WER,0.3235582290611539,0.6950536450350442,0.20050396075455226,0.7159240178289803,0.2249156148589201
PSD95_CRIPT_1BE9,0.34009982328182004,0.6093032176340978,0.050432199534348486,0.5900855817365128,0.13223955001834828
PSD95_Tm2F_1BE9,0.1624755963772444,0.5421182683472939,0.022296857298329184,0.5807874082646622,0.11746642570410233
ACE2_SARS2-RBD_enrich_6M17,0.1768287918812832,0.6040199826822944,0.12716906584210244,0.6023514844636956,0.17582659118826385
CD19_FMC63_Fitness_7URV,0.2345007110133463,0.6251239228246779,0.060292161298795936,0.6201570625059062,0.1424465586646379
