DMS_id,Spearman,AUC,MCC,NDCG,AP
CXCR4_CXCL12_enrich_8U4O,0.17030312863223515,0.5693657738258373,0.07961427055162884,0.6391290549274353,0.13177948521435337
hYAP65_peptide_FunctioncalScore_1JMQ,0.4226688342679871,0.6478779840848806,0.15676392572944298,0.754375494208872,0.2544397944456557
GB1_IgG-Fc_fitness_1FCC,0.6800418009339061,0.7974090380041496,0.20601184150599666,0.8004601931621353,0.2708806530903335
SARS2-RBD_ACE2_deltaKd_6M0J,0.7112094568836561,0.8433823213975259,0.2744644917441301,0.7501054724582393,0.3007504793520599
KRAS_DARPinK27_norfitness_5O2S,0.43350057657016866,0.6716324776216359,0.1455639559617092,0.6462653295896649,0.2093653344979878
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5778557825917853,0.7655484771962046,0.2718855218855219,0.8073244660444039,0.28011449003122585
KRAS_RAF1_norfitness_6VJJ,0.47010069480844546,0.6581834603000078,0.12223356632372576,0.7548823358737082,0.19504372980991702
KRAS_RAF1-RBD_norfitness_6VJJ,0.554250836755557,0.7224348971541084,0.2067853415945386,0.80300255235665,0.2674094574978565
KRAS_RALGDS-RBD_norfitness_1LFD,0.6156782745902555,0.730170391300625,0.18500727802037845,0.7497663556307919,0.2453285527877268
KRAS_SOS1_norfitness_8BE4,0.43548838758279024,0.6650256497313012,0.1764075522145771,0.687611462818547,0.21670319806072663
BH3_Mcl-1_normed_3KZ0,0.5776657786737706,0.8590527119938884,0.4121466768525592,0.862585408503745,0.4315163069913616
BH3_Bcl-xL_normed_1PQ1,0.771389828881369,0.8926661573720398,0.5427807486631016,0.94061993676707,0.597353756225884
HLA-A2_TAPBPR_meanscore_5WER,0.5022792696188235,0.7189010084175335,0.16069502933984117,0.7467299167275468,0.21516439677875893
PSD95_CRIPT_1BE9,0.5644687287562083,0.6906896459442824,0.08560137732937262,0.7043740278096414,0.16521098777293847
PSD95_Tm2F_1BE9,0.1945669061636675,0.5007404037430532,-0.019906156055699772,0.5958458236329257,0.102470324437377
ACE2_SARS2-RBD_enrich_6M17,0.31631250221242996,0.5307249990134014,0.03582629366278759,0.6528432786127274,0.1311170966520393
CD19_FMC63_Fitness_7URV,0.42131329591149674,0.8062016489149868,0.3003635069523882,0.7402605084917099,0.3246704975291347
