DMS_id,Spearman,AUC,MCC,NDCG,AP
CXCR4_CXCL12_enrich_8U4O,0.2101243178111218,0.5787482906417933,0.0398567876380923,0.6005601355062068,0.11886461246529052
hYAP65_peptide_FunctioncalScore_1JMQ,0.6792491946068488,0.7336870026525198,0.19509283819628648,0.7588513939843634,0.22269595142963583
GB1_IgG-Fc_fitness_1FCC,0.6294196758148883,0.7755174333282728,0.2165983502859167,0.7736182739556212,0.2318204113377645
SARS2-RBD_ACE2_deltaKd_6M0J,0.2209954939798545,0.5592203153329104,-0.01221051395696968,0.5540886415355921,0.10915135826757827
KRAS_DARPinK27_norfitness_5O2S,0.5633845291880513,0.6557871306091541,0.06587562024829349,0.7595050063349384,0.1447108535049752
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5682596666674014,0.6607106417712478,0.15404040404040403,0.8006975288724442,0.18364176577379993
KRAS_RAF1_norfitness_6VJJ,0.63117537761084,0.7046257755438625,0.1128956255399356,0.7884323740679973,0.1846085252209704
KRAS_RAF1-RBD_norfitness_6VJJ,0.6362582889603309,0.747407488720509,0.1950049258756456,0.8181946175578,0.23496859870413922
KRAS_RALGDS-RBD_norfitness_1LFD,0.6081057207354283,0.6707971572908639,0.15014127921911122,0.817829922295396,0.19520279150898168
KRAS_SOS1_norfitness_8BE4,0.5359020157303653,0.6434528198789397,0.03471422786439683,0.7466569333115364,0.1423381001789714
BH3_Mcl-1_normed_3KZ0,0.41753425972592223,0.8300229182582124,0.4121466768525592,0.7724417318265603,0.36219011709617027
BH3_Bcl-xL_normed_1PQ1,0.5915664674682604,0.6581359816653933,0.0855614973262032,0.6773267174907268,0.14633837644363307
HLA-A2_TAPBPR_meanscore_5WER,0.42353530405825085,0.7035282213062306,0.14410797458371155,0.7202029424732355,0.1946598370989127
PSD95_CRIPT_1BE9,0.4977581628974456,0.7490521940036217,0.1348382262424064,0.7428860742082809,0.21623972288055032
PSD95_Tm2F_1BE9,0.18584356160380025,0.3743231550119981,-0.07617684052773838,0.5670026746336723,0.07466991432604955
ACE2_SARS2-RBD_enrich_6M17,0.1653918598556936,0.5915017886450636,0.05612468748041312,0.5806037920380663,0.12701508799353894
CD19_FMC63_Fitness_7URV,0.20951201753233983,0.6870535600803275,0.08086970521196099,0.6226218410801924,0.1805542556645825
