DMS_id,Spearman,AUC,MCC,NDCG,AP
5A12_Ang2_fitness_4ZFG,-0.09557222115377444,0.48966613672496023,-0.11486486486486487,0.4673452714118853,0.10306170679328827
5A12_VEGF_fitness_4ZFF,0.2671048855584624,0.7882797731568998,0.178743961352657,0.6375951272771462,0.2722236373545593
Z-domain_ZpA963_HL1_fitness_2M5A,0.26342034654624796,0.7017241379310345,0.10804597701149425,0.7321329363216675,0.29158027433355116
Z-domain_ZpA963_HL2_fitness_2M5A,0.18047176259688677,0.6162464985994398,-0.030967942732648614,0.5599892525539019,0.14979238001407497
CXCR4_CXCL12_enrich_8U4O,0.09518338671265845,0.5179631212863058,0.014014423744293538,0.5688199166713277,0.10570050498035546
hYAP65_peptide_FunctioncalScore_1JMQ,0.19278390052205424,0.612968846483278,0.06490979954717181,0.5968771726141059,0.14547670624042464
GB1_IgG-Fc_fitness_1FCC,0.4999780521035006,0.7043908353130827,0.13960462241613755,0.7612145640832213,0.19827332419491894
GB1_IgG-Fc_fitness_1FCC_2016,0.3753445999330226,0.637877052310042,0.11504390988927071,0.6905407045512802,0.16561484742639718
SARS2-RBD_ACE2_deltaKd_6M0J,0.0877999601245436,0.5416139965828113,0.007780762063926626,0.5248927109434753,0.1080277012761826
KRAS_DARPinK27_norfitness_5O2S,0.35543576499593,0.6670119326219878,0.10493422207559813,0.6695662204455071,0.16672079983232624
KRAS_PICK3CG-RBD_norfitness_1HE8,0.44499321477883463,0.7298082287625409,0.18557636043941692,0.731192956340117,0.21752353289120105
KRAS_RAF1_norfitness_6VJJ,0.5723939366456089,0.7398014821991493,0.16051069870402276,0.7758303720603084,0.20780215618122555
KRAS_RAF1-RBD_norfitness_6VJJ,0.3476918464572834,0.6514209996653061,0.06148990229692348,0.5907617123835809,0.14651991280054322
KRAS_RALGDS-RBD_norfitness_1LFD,0.4694147487763259,0.6933329793789621,0.12433560374383823,0.7208075618330837,0.17799627845217458
KRAS_SOS1_norfitness_8BE4,0.38401620626807836,0.6725473029740229,0.11874874254898635,0.7078376618752604,0.18717206231943362
BH3_Mcl-1_normed_3KZ0,0.27451509362857845,0.676376097665453,0.08031698436496038,0.6104601703768174,0.17521351628103252
BH3_Bcl-xL_normed_1PQ1,0.3316824555248009,0.6337545512957807,-0.01649175412293853,0.5733492970267732,0.141808537047281
HLA-A2_TAPBPR_meanscore_5WER,0.3174365573770882,0.6563969782195702,0.13083833077880785,0.6931806201488327,0.1748936647339202
PSD95_CRIPT_1BE9,0.2251770468561931,0.642269025254012,0.03636452841633884,0.5609666404909063,0.14485394112742966
PSD95_Tm2F_1BE9,0.1632489990137239,0.573870884291844,0.022296857298329184,0.6168526126162313,0.12148397056389881
ACE2_SARS2-RBD_enrich_6M17,0.14332351631103904,0.5853175570428044,0.0611992859348195,0.6242664989951245,0.14958673271244888
CD19_FMC63_Fitness_7URV,0.375523672961363,0.7642592172003937,0.2856007267771974,0.8366061673793501,0.27080614524479324
