DMS_id,Spearman,AUC,MCC,NDCG,AP
5A12_Ang2_fitness_4ZFG,-0.08130785008876876,0.4217011128775835,-0.0492845786963434,0.40110073553727504,0.08853653084908417
5A12_VEGF_fitness_4ZFF,0.1419930623038376,0.7523629489603025,0.13043478260869565,0.6762316711597882,0.28964311095089884
Z-domain_ZpA963_HL1_fitness_2M5A,0.18702896377165912,0.6706896551724137,0.16379310344827586,0.6985717927404617,0.17469926841001193
Z-domain_ZpA963_HL2_fitness_2M5A,0.44214846722294593,0.8037659508247744,0.25770308123249297,0.7949790757885957,0.34909301813166704
CXCR4_CXCL12_enrich_8U4O,0.20858148569536175,0.5626137644178714,0.0398567876380923,0.6332175038933725,0.12239326421274616
hYAP65_peptide_FunctioncalScore_1JMQ,0.44556688764254415,0.722739220431714,0.16358003173781116,0.6841154228270537,0.20318856624846893
GB1_IgG-Fc_fitness_1FCC,0.5742218683753263,0.7200788559074285,0.09678221936108088,0.6823314155536693,0.17446877281118534
GB1_IgG-Fc_fitness_1FCC_2016,0.6819806440093216,0.7752577319587629,0.17678503245513555,0.8193034313112061,0.2348925440303003
SARS2-RBD_ACE2_deltaKd_6M0J,0.6418915514513011,0.8436614241329197,0.30194939862016007,0.7806237336393179,0.32493170293383156
KRAS_DARPinK27_norfitness_5O2S,0.47945495347123596,0.6683395117103471,0.11403273061866702,0.7137121789445542,0.17894368370018085
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5915456246415757,0.7464312331059009,0.23763468967269283,0.7818867065372589,0.2587238860399711
KRAS_RAF1_norfitness_6VJJ,0.5970018937170036,0.8097822765966212,0.2542741175335317,0.8198265445542147,0.3004112116969813
KRAS_RAF1-RBD_norfitness_6VJJ,0.5749015398016736,0.72790403882242,0.19672743298280368,0.7930054437426393,0.23667961105539614
KRAS_RALGDS-RBD_norfitness_1LFD,0.6491360618273577,0.7395586280298885,0.19862777959588937,0.7789225587061801,0.23052152450725352
KRAS_SOS1_norfitness_8BE4,0.4330234657192589,0.7049060181774793,0.15820775407664367,0.7001142544548792,0.20683820953084633
BH3_Mcl-1_normed_3KZ0,0.562485153275376,0.8282287427714714,0.32233883058470764,0.8860346634165724,0.4194977709986103
BH3_Bcl-xL_normed_1PQ1,0.39756994529128165,0.8280145641464982,0.41914756907260653,0.8823973014572648,0.42202424060184074
HLA-A2_TAPBPR_meanscore_5WER,0.37626299667618546,0.6413530552620745,0.08107716651041899,0.6580344920113758,0.15179326365156665
PSD95_CRIPT_1BE9,0.44819866476230685,0.6023898091899269,0.050432199534348486,0.6556118519151163,0.12893679405317396
PSD95_Tm2F_1BE9,0.22276350167487505,0.4534638406437053,-0.012872320496694945,0.548392113188517,0.09095066202038293
ACE2_SARS2-RBD_enrich_6M17,0.32400801516061495,0.5263061983921926,-0.014919690881276218,0.6123209983177668,0.10932528400316979
CD19_FMC63_Fitness_7URV,0.46049726637891314,0.780532212885154,0.18505564387917328,0.732550969622445,0.22916458280286472
