DMS_id,Spearman,AUC,MCC,NDCG,AP
5A12_Ang2_fitness_4ZFG,0.264184765461301,0.7023052464228935,0.147456279809221,0.6226175046069344,0.22897142247178073
5A12_VEGF_fitness_4ZFF,0.48127978058457266,0.9516908212560387,0.5169082125603864,0.8372633909242045,0.5145204770615485
Z-domain_ZpA963_HL1_fitness_2M5A,0.5797150875405241,0.8089080459770115,0.3310344827586207,0.7950177352602342,0.3600671594287818
Z-domain_ZpA963_HL2_fitness_2M5A,0.7163743406543805,0.8387799564270153,0.25770308123249297,0.8583377614456578,0.3250361708019703
CXCR4_CXCL12_enrich_8U4O,0.34036062004764994,0.6898135064391462,0.19725471995781435,0.7283212014560365,0.21675201466917496
hYAP65_peptide_FunctioncalScore_1JMQ,0.8053474318933225,0.9340390514511084,0.5871030283714784,0.9354683741007848,0.5992093101043272
GB1_IgG-Fc_fitness_1FCC,0.9722047172515846,0.985373401390219,0.8016772506556313,0.9891363409100173,0.9097453297710504
GB1_IgG-Fc_fitness_1FCC_2016,0.8133626684874692,0.8707521954944636,0.36200840015273006,0.8683424925905227,0.4083615795304637
SARS2-RBD_ACE2_deltaKd_6M0J,0.9032901363324709,0.9183808835873736,0.45526204307943485,0.9172392005898853,0.5039789719510319
KRAS_DARPinK27_norfitness_5O2S,0.9062107459247046,0.9578889461889922,0.6371969718451281,0.9645723555034545,0.7559300804602544
KRAS_PICK3CG-RBD_norfitness_1HE8,0.9321901915607995,0.967723396099404,0.6789736363947986,0.9734646819411605,0.8032937061185584
KRAS_RAF1_norfitness_6VJJ,0.9071216788768312,0.9849938949078056,0.7730399488145532,0.985052658479565,0.8858707516837151
KRAS_RAF1-RBD_norfitness_6VJJ,0.9371540228712836,0.9597685115066681,0.6211430877948746,0.9623894670949523,0.7362225618587944
KRAS_RALGDS-RBD_norfitness_1LFD,0.9395137207832369,0.9576202884926855,0.6061422147843465,0.958999455025812,0.7143138354227069
KRAS_SOS1_norfitness_8BE4,0.9072063016245491,0.9581448616540398,0.6420095475896596,0.9649073700274444,0.7561977167015896
BH3_Mcl-1_normed_3KZ0,0.7655495691288144,0.9324266438209468,0.5643606768044549,0.9290212548581298,0.6862800101125598
BH3_Bcl-xL_normed_1PQ1,0.739137233098969,0.8644249303919469,0.5159563075605055,0.8538305316695377,0.46797168247974347
HLA-A2_TAPBPR_meanscore_5WER,0.6792165147300682,0.8162492621637575,0.3048186587861763,0.8397755179981751,0.3410641861177045
PSD95_CRIPT_1BE9,0.7031155005938008,0.8365424929304823,0.5005976753106574,0.915523079520618,0.4854553055247521
PSD95_Tm2F_1BE9,0.649654673846366,0.7787575489959947,0.36869866087813247,0.8470951860123187,0.40856855326268926
ACE2_SARS2-RBD_enrich_6M17,0.6718723161551057,0.7358632040541073,0.42149577619767253,0.8523330947064723,0.46961532049042737
CD19_FMC63_Fitness_7URV,0.7031815435328705,0.9399147046205869,0.47081535316829437,0.9383700693960865,0.5522006887233588
